Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C8,.1u,C_0402_1005Metric,-142.37,-109.68,135,bottom
C14,.1u,C_0402_1005Metric,-152.88,-113.07,135,bottom
C15,.1u,C_0402_1005Metric,-149.27,-116.68,135,bottom
C16,.1u,C_0402_1005Metric,-147.67,-105.78,-135,bottom
C17,.1u,C_0402_1005Metric,-141.355589,-112.994411,45,bottom
C21,.1u,C_0402_1005Metric,-141.27,-110.68,135,bottom
C22,.1u,C_0402_1005Metric,-150.67,-115.18,-45,bottom
C23,.1u,C_0402_1005Metric,-151.57,-109.68,45,bottom
C24,.1u,C_0402_1005Metric,-150.609411,-108.640589,45,bottom
C25,.1u,C_0402_1005Metric,-148.77,-106.88,45,bottom
C26,.1u,C_0402_1005Metric,-144.77,-107.18,135,bottom
C27,.1u,C_0402_1005Metric,-148.57,-117.38,-45,bottom
C28,4.7u,C_0402_1005Metric,-187.97,-101.45,-90,bottom
C29,4.7u,C_0402_1005Metric,-163.07,-101.479998,-90,bottom
C30,.1u,C_0402_1005Metric,-189.17,-101.45,-90,bottom
C31,.1u,C_0402_1005Metric,-164.27,-101.479998,-90,bottom
C32,2.2u,C_0402_1005Metric,-169.27,-101.98,-90,bottom
C33,2.2u,C_0402_1005Metric,-194.57,-101.38,-90,bottom
C40,4.7u,C_0402_1005Metric,-137.42,-102.3,-90,bottom
C41,4.7u,C_0402_1005Metric,-112.27,-101.33,-90,bottom
C42,.1u,C_0402_1005Metric,-138.67,-102.3,-90,bottom
C43,.1u,C_0402_1005Metric,-113.47,-101.33,-90,bottom
C44,2.2u,C_0402_1005Metric,-119.12,-101.33,-90,bottom
C45,2.2u,C_0402_1005Metric,-143.77,-103.065,-90,bottom
R9,100K,R_0402_1005Metric,-164.42,-98.68,-90,bottom
R10,100K,R_0402_1005Metric,-189.47,-98.88,-90,bottom
R11,10K,R_0402_1005Metric,-191.67,-96.12,90,bottom
R12,10K,R_0402_1005Metric,-166.27,-96.279998,90,bottom
R13,10K,R_0402_1005Metric,-192.87,-96.12,90,bottom
R14,10K,R_0402_1005Metric,-167.47,-96.279998,90,bottom
R15,10K,R_0402_1005Metric,-194.07,-96.12,90,bottom
R16,10K,R_0402_1005Metric,-168.67,-96.279998,90,bottom
R17,29.8K,R_0402_1005Metric,-190.07,-104.02,-90,bottom
R18,29.8K,R_0402_1005Metric,-165.07,-103.82,-90,bottom
R21,48.7K,R_0402_1005Metric,-191.27,-104.02,-90,bottom
R22,48.7K,R_0402_1005Metric,-166.27,-103.82,-90,bottom
R23,100K,R_0402_1005Metric,-113.72,-98.78,-90,bottom
R24,100K,R_0402_1005Metric,-138.87,-99.73,-90,bottom
R25,10K,R_0402_1005Metric,-141.22,-97.370001,90,bottom
R26,10K,R_0402_1005Metric,-116.32,-96.360001,90,bottom
R27,10K,R_0402_1005Metric,-142.32,-97.37,90,bottom
R28,10K,R_0402_1005Metric,-117.42,-96.360001,90,bottom
R29,10K,R_0402_1005Metric,-143.42,-97.37,90,bottom
R30,10K,R_0402_1005Metric,-118.52,-96.37,90,bottom
R31,29.8K,R_0402_1005Metric,-139.85,-104.940001,-90,bottom
R32,29.8K,R_0402_1005Metric,-114.77,-103.77,-90,bottom
R35,48.7K,R_0402_1005Metric,-141,-104.94,-90,bottom
R36,48.7K,R_0402_1005Metric,-115.97,-103.77,-90,bottom
U4,TPS2546,TPS2546RTER,-191.87,-100.13,0,bottom
U5,TPS2546,TPS2546RTER,-166.87,-99.93,0,bottom
U6,TPS2546,TPS2546RTER,-141.370001,-101.030001,0,bottom
U7,TPS2546,TPS2546RTER,-116.27,-100.079998,0,bottom
C1,0.1u,C_0402_1005Metric,186.57,-107.45,-90,top
C2,0.1u,C_0402_1005Metric,185.47,-107.45,-90,top
C3,10p,C_0402_1005Metric,154.07,-119.18,-90,top
C4,10p,C_0402_1005Metric,156.819712,-115.36392,180,top
C5,1u,C_0402_1005Metric,147.655589,-119.369411,-135,top
C6,2.2u,C_0402_1005Metric,177.87,-117.73,-90,top
C9,2.2u,C_0402_1005Metric,112.53125,-115.72,-90,top
C10,10n,C_0402_1005Metric,117.86875,-117.42,90,top
C11,2.2u,C_0402_1005Metric,117.94375,-114.27,90,top
C12,10u,C_0603_1608Metric,119.96875,-116.22,0,top
C13,2.2u,C_0402_1005Metric,117.86375,-119.395,-90,top
C18,10n,C_0402_1005Metric,112.56375,-119.395,-90,top
C19,2.2u,C_0402_1005Metric,112.56875,-121.37,-90,top
C20,10u,C_0603_1608Metric,121.01875,-122.27,90,top
C34,0.1u,C_0402_1005Metric,159.32,-98.35,90,top
C35,0.1u,C_0402_1005Metric,158.12,-98.35,90,top
C36,0.1u,C_0402_1005Metric,184.07,-98.3,90,top
C37,0.1u,C_0402_1005Metric,183.07,-98.3,90,top
C38,100u,CP_Radial_D5.0mm_P2.50mm,167.864888,-92.13,0,top
C39,100u,CP_Radial_D5.0mm_P2.50mm,192.864888,-92.13,0,top
C46,0.1u,C_0402_1005Metric,109.17,-98,90,top
C47,0.1u,C_0402_1005Metric,108.095,-98,90,top
C48,0.1u,C_0402_1005Metric,134.17,-97.93,90,top
C49,0.1u,C_0402_1005Metric,133.07,-97.93,90,top
C50,100u,CP_Radial_D5.0mm_P2.50mm,117.92,-92.48,0,top
C51,100u,CP_Radial_D5.0mm_P2.50mm,142.864888,-92.13,0,top
D1,TPD6E05U06RVZR,TPD6E05U06RVZR,186.27,-110.73,90,top
D2,TPD6E05U06RVZR,TPD6E05U06RVZR,158.47,-94.73,-90,top
D3,TPD6E05U06RVZR,TPD6E05U06RVZR,183.320002,-94.93,-90,top
D4,TPD6E05U06RVZR,TPD6E05U06RVZR,108.370001,-94.505,-90,top
D5,TPD6E05U06RVZR,TPD6E05U06RVZR,133.37,-94.505,-90,top
J1,USB3_A,USB3_A_Molex_48393-001,182.72,-115.83,0,top
J2,Barrel_Jack_Switch,BarrelJack_CUI_PJ-063AH_Horizontal,102.995,-115.7,0,top
J3,USB3_A,USB3_A_Molex_48393-001,161.87,-89.13,180,top
J4,USB3_A,USB3_A_Molex_48393-001,186.87,-89.13,180,top
J5,USB3_A,USB3_A_Molex_48393-001,111.87,-89.13,180,top
J6,USB3_A,USB3_A_Molex_48393-001,136.87,-89.13,180,top
L1,2.2u,L_0402_1005Metric,172.52,-92.08,90,top
L2,2.2u,L_0402_1005Metric,197.52,-91.88,90,top
L3,2.2u,L_0402_1005Metric,122.62,-92.48,90,top
L4,2.2u,L_0402_1005Metric,147.57,-92.08,90,top
R1,1M,R_0402_1005Metric,153.97,-115.18,45,top
R2,10K,R_0402_1005Metric,139.509376,-116.840624,-135,top
R3,10K,R_0402_1005Metric,140.27,-117.58,45,top
R4,10K,R_0402_1005Metric,141.02,-118.33,-135,top
R5,9.52K,R_0402_1005Metric,155.2,-112.7,45,top
R6,10K,R_0402_1005Metric,142.630624,-119.919376,-135,top
R7,10K,R_0402_1005Metric,149.780624,-122.690624,-45,top
R8,90.1K,R_0402_1005Metric,148.32,-121.98,-135,top
R19,10K,R_0402_1005Metric,144.009376,-120.840624,45,top
R20,10K,R_0402_1005Metric,148.37,-123.73,-135,top
R33,10K,R_0402_1005Metric,134.009376,-120.840624,45,top
