Designator,Comment,Footprint,JLCPCB Part #
"C1, C2, C34, C35, C36, C37, C46, C47, C48, C49, C8, C14, C15, C16, C17, C21, C22, C23, C24, C25, C26, C27, C30, C31, C42, C43",0.1u,Capacitor_SMD:C_0402_1005Metric,C2655418
"C3, C4",10p,Capacitor_SMD:C_0402_1005Metric,C382717
C5,1u,Capacitor_SMD:C_0402_1005Metric,C106254
"C6, C9, C11, C13, C19, C32, C33, C44, C45",2.2u,Capacitor_SMD:C_0402_1005Metric,C342991
"C10, C18",10n,Capacitor_SMD:C_0402_1005Metric,C386111
"C12, C20",10u,Capacitor_SMD:C_0603_1608Metric,C466623
"C28, C29, C40, C41",4.7u,Capacitor_SMD:C_0402_1005Metric,C342959
"C38, C39, C50, C51",100u,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,
"D1, D2, D4, D3, D5",TPD6E05U06RVZR,DFN-14 (1.4x3.5),C962978
"J1, J3, J4, J5, J6",USB3_A,Connector_USB:USB3_A_Molex_48393-001,Global Ship
J2,Barrel_Jack_Switch,Connector_BarrelJack:BarrelJack_CUI_PJ-063AH_Horizontal,
"L1, L2, L3, L4",2.2u,Inductor_SMD:L_0402_1005Metric,
R1,1M,Resistor_SMD:R_0402_1005Metric,C881263
"R2, R3, R4, R6, R7, R11, R12, R13, R14, R15, R16, R19, R20, R25, R26, R27, R28, R29, R30, R33, R34",10K,Resistor_SMD:R_0402_1005Metric,C328298
R5,9.52K 1% Max,Resistor_SMD:R_0402_1005Metric,
R8,90.1K 1% Max,Resistor_SMD:R_0402_1005Metric,
"R9, R10, R23, R24",100K,Resistor_SMD:R_0402_1005Metric,C328298
"R17, R18, R31, R32",29.8K 1% Max,Resistor_SMD:R_0402_1005Metric,
"R21, R22, R35, R36",48.7K 1% Max,Resistor_SMD:R_0402_1005Metric,C103068
U1,TUSB8041,Package_DFN_QFN:QFN-64-1EP_9x9mm_P0.5mm_EP6x6mm_ThermalVias,C544686
U2,SPX3819M5-L-3-3,Package_TO_SOT_SMD:SOT-23-5,C5370980
U3,SPX3819M5-L-1-2,Package_TO_SOT_SMD:SOT-23-5,Global Ship
"U4, U5, U6, U7",TPS2546,WQFN-16-EP(3x3),C117009
Y1,24MHz,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,C2650460
